concept,kind,description
business_or_management_education,utility,"this biography mentions business school, MBA, management degree, executive education, leadership training, administration degree, entrepreneurship education, or formal business training"
technical_or_engineering_work,utility,"this biography mentions technical work, engineering, software, programming, systems, infrastructure, product development, data tools, or technical problem solving"
software_development,utility,"this biography mentions software or computing work, including software engineering, programming, coding, computer science, software systems, applications, websites, databases such as DB2 or Oracle, system engine components, technical software architecture, computing platforms, or open-source work"
technical_infrastructure,utility,"this biography mentions servers, databases, distributed systems, cloud tools, networks, technical platforms, or computing infrastructure"
creative_or_artistic_work,utility,"this biography mentions creative work, artistic practice, writing, photography, film, music, design, performance, exhibitions, publications, or producing original creative material"
design_work,utility,"this biography mentions designing, design practice, creating plans or solutions, product design, fashion design, graphic design, interior design, architecture, spatial design, technical solution design, system design, or visual design"
building_or_spatial_design,utility,"this biography mentions buildings, architecture, spatial planning, interiors, landscapes, urban spaces, or construction projects"
interior_or_decorative_design,utility,"this biography mentions interior spaces, furnishings, decor, residential design, commercial interiors, or space styling"
visual_art_practice,utility,"this biography mentions painting, drawing, sculpture, galleries, exhibitions, installations, illustration, or visual artwork"
camera_or_photography_work,utility,"this biography mentions photography, cameras, portraits, photojournalism, photo projects, photographic work, images, or visual documentation"
film_or_video_production,utility,"this biography mentions film, directing, documentaries, screenings, festivals, cinematography, editing, television production, or video production"
media_or_publishing_work,utility,"this biography mentions journalism, reporting, publishing, editorial work, magazines, newspapers, broadcasting, media production, or public communication work"
reporting_or_news_work,utility,"this biography mentions reporting, journalism, newsrooms, correspondents, editors, articles, news coverage, or editorial work"
literary_writing,utility,"this biography mentions poetry, novels, books, essays, literary publications, readings, authorship, or creative writing"
music_composition,utility,"this biography mentions composing, scores, orchestras, songwriting, musical works, arrangements, or music writing"
live_music_or_recording,utility,"this biography mentions live music, albums, tracks, recording, concerts, DJ work, bands, or musical performance events"
comedy_or_stage_performance,utility,"this biography mentions comedy, stand-up, stage performance, acting, theater, television appearances, entertainment work, or live performance"
fashion_or_modeling_work,utility,"this biography mentions modeling, fashion, runway work, campaigns, visual promotion, style work, or public appearances related to fashion"
fitness_instruction,utility,"this biography mentions exercise coaching, workouts, bodybuilding, strength training, sports conditioning, physical fitness, or fitness instruction"
mind_body_practice,utility,"this biography mentions yoga-style movement, breath work, postures, alignment, meditation, relaxation practice, or mind-body instruction"
religious_ministry,utility,"this biography mentions church work, ministry, worship, preaching, pastoral service, spiritual leadership, or congregations"
management_or_leadership,utility,"this biography mentions managing, leading, directing, founding, chairing, supervising, heading, or overseeing a team, lab, department, company, organization, project, or group of people"
organizational_role_or_administration,utility,"this biography mentions administration, coordination, operations, program management, board service, committee work, institutional service, organizing initiatives, or running organizational processes"
business_or_client_service,utility,"this biography mentions consulting, client services, business services, customer-facing professional work, entrepreneurship, running a practice, or serving external clients"
financial_or_accounting_work,utility,"this biography mentions accounting, taxes, payroll, auditing, finance, bookkeeping, investment work, budgets, or financial management"
public_speaking_or_events,utility,"this biography mentions talks, conferences, lectures, public events, panels, workshops, invited speaking, seminars, or presentations"
media_interviews_or_features,utility,"this biography mentions being interviewed, featured, profiled, quoted, reviewed, or appearing in newspapers, magazines, journals, podcasts, radio, television, documentaries, or other media coverage"
online_public_presence,utility,"this biography mentions a personal website, blog, online portfolio, social media account, YouTube channel, podcast, newsletter, public profile, or following the person's work online"
celebrity_or_public_attention,utility,"this biography indicates the person is famous, well-known, a celebrity, a public figure, under public attention, in the news, followed by fans, or covered because of their public image, relationships, or personal life"
public_presence_or_recognition,utility,"this biography mentions public recognition, awards, honors, exhibitions, performances, talks, media features, public profiles, notable appearances, or public visibility of the person's work"
male_pronouns,direct_sensitive,"this biography uses male-coded personal pronouns such as he, him, his, or himself"
female_pronouns,direct_sensitive,"this biography uses female-coded personal pronouns such as she, her, hers, or herself"
male_gendered_titles,direct_sensitive,"this biography uses male-coded titles or honorifics such as Mr, Mister, Sir, or Lord"
female_gendered_titles,direct_sensitive,"this biography uses female-coded titles or honorifics such as Mrs, Ms, Miss, Madam, Madame, Lady, or Dame"
spouse_or_partner_mentions,proxy_sensitive,"this biography mentions a spouse, wife, husband, partner, marriage, or marital relationship"
parent_role_mentions,proxy_sensitive,"this biography mentions being a mother, father, parent, mom, dad, or having parental roles"
child_or_family_care_mentions,proxy_sensitive,"this biography mentions children, sons, daughters, caregiving, family responsibilities, or household care"
appearance_or_body_presentation,proxy_sensitive,"this biography emphasizes appearance, beauty, body presentation, visual attractiveness, glamour, or physical presentation"
gendered_organization_or_award,proxy_sensitive,"this biography mentions gendered organizations, women's groups, men's groups, female lists, male awards, or similar gender-specific groups"
