row_idx,sample_row,true_profession,biography,neural_baseline_lambda_s_0_first_10_questions,neural_baseline_lambda_s_0_budget_5_prediction,neural_baseline_lambda_s_0_budget_5_confidence,neural_baseline_lambda_s_0_budget_5_correct,neural_baseline_lambda_s_0_budget_10_prediction,neural_baseline_lambda_s_0_budget_10_confidence,neural_baseline_lambda_s_0_budget_10_correct,neural_baseline_lambda_s_0_budget_20_prediction,neural_baseline_lambda_s_0_budget_20_confidence,neural_baseline_lambda_s_0_budget_20_correct,neural_claq_lambda_s_0_4_first_10_questions,neural_claq_lambda_s_0_4_budget_5_prediction,neural_claq_lambda_s_0_4_budget_5_confidence,neural_claq_lambda_s_0_4_budget_5_correct,neural_claq_lambda_s_0_4_budget_10_prediction,neural_claq_lambda_s_0_4_budget_10_confidence,neural_claq_lambda_s_0_4_budget_10_correct,neural_claq_lambda_s_0_4_budget_20_prediction,neural_claq_lambda_s_0_4_budget_20_confidence,neural_claq_lambda_s_0_4_budget_20_correct
75,75,professor,"She is an outstanding role model who inspires students to do their best, while displaying the professional demeanor and personal warmth that characterize the most effective and engaging teachers. Students identify with Ebersole because she is youthful, personable and articulate, but they also admire her dedication, competence and dignity. She takes time to ensure students’ needs are met and their questions answered, provides extensive feedback and lets them know she genuinely cares. Her students",health_or_wellness_work -> creative_or_artistic_work -> female_pronouns -> legal_or_regulatory_work -> design_work -> clinical_care -> visual_art_practice -> literary_writing -> film_or_video_production -> live_music_or_recording,model,0.165,False,model,0.187,False,model,0.218,False,creative_or_artistic_work -> health_or_wellness_work -> legal_or_regulatory_work -> technical_or_engineering_work -> design_work -> clinical_care -> visual_art_practice -> live_music_or_recording -> mind_body_practice -> film_or_video_production,pastor,0.11,False,accountant,0.164,False,accountant,0.214,False
76,76,dietitian,"She graduated in 2004, having over 14 years of diverse experience, especially in Registered Dietitian Or Nutrition Professional. Miss Esther Q Situ accepts Medicare-approved amount as payment in full. Call (415) 837-1938 to request Miss Esther Q Situ the information (Medicare information, advice, payment, ...) or simply to book an appointment.",health_or_wellness_work -> nursing_care -> female_pronouns -> clinical_care -> dental_or_oral_health -> male_pronouns -> creative_or_artistic_work -> nutrition_or_diet_guidance -> legal_or_regulatory_work -> design_work,dietitian,0.259,True,psychologist,0.282,False,nurse,0.283,False,creative_or_artistic_work -> health_or_wellness_work -> mind_body_practice -> clinical_care -> dental_or_oral_health -> nursing_care -> nutrition_or_diet_guidance -> legal_or_regulatory_work -> technical_or_engineering_work -> design_work,nurse,0.215,False,physician,0.292,False,physician,0.33,False
80,80,psychologist,"She sees couples and adults who struggle with anxiety, depression and life transitions which includes: postpartum depression, perinatal depression, the transition to parenthood, parenting support, new moms and new dads, relationships, stress and healthy relationships. Margot also treats individuals who have body-focused repetitive behaviors also know as Trichotillomania.",health_or_wellness_work -> nursing_care -> female_pronouns -> clinical_care -> creative_or_artistic_work -> dental_or_oral_health -> legal_or_regulatory_work -> design_work -> male_pronouns -> nutrition_or_diet_guidance,dietitian,0.32,False,yoga_teacher,0.456,False,dietitian,0.195,False,creative_or_artistic_work -> health_or_wellness_work -> mind_body_practice -> clinical_care -> nutrition_or_diet_guidance -> legal_or_regulatory_work -> dental_or_oral_health -> nursing_care -> technical_or_engineering_work -> design_work,personal_trainer,0.311,False,personal_trainer,0.288,False,personal_trainer,0.263,False
92,92,dentist,"Robinson Narendran Andrew practices at Unity Denticare (Parkway Parade) in Marine Parade, Singapore. He completed BDS from National University of Singapore, Singapore in 1990,MSc from University of London, United Kingdom in 1996 and Fellow of the Royal Australasian College of Dental Surgeons (FRACDS) from Royal Australasian College of Surgeons, Australia. Some of the services provided by the doctor are: Gum Disease Treatment/ Surgery,Veneers / Laminates,Crowns and Bridges Fixing,Custom Fitted Mo",health_or_wellness_work -> nursing_care -> female_pronouns -> clinical_care -> dental_or_oral_health -> creative_or_artistic_work -> male_pronouns -> nutrition_or_diet_guidance -> legal_or_regulatory_work -> mind_body_practice,dentist,0.967,True,dentist,0.936,True,dentist,0.774,True,creative_or_artistic_work -> health_or_wellness_work -> mind_body_practice -> clinical_care -> dental_or_oral_health -> nursing_care -> nutrition_or_diet_guidance -> legal_or_regulatory_work -> technical_or_engineering_work -> design_work,dentist,0.879,True,dentist,0.896,True,surgeon,0.543,False
98,98,photographer,"Gifted with a careful eye that attends to stillness, nostalgia and the beauty of everyday life, her work reveals a warmer, tender world through youthful eyes- a soulful appreciation of the passage of time- apt for a name that roughly translates to 'bright mirror'.",health_or_wellness_work -> creative_or_artistic_work -> visual_art_practice -> literary_writing -> design_work -> film_or_video_production -> live_music_or_recording -> female_pronouns -> camera_or_photography_work -> legal_or_regulatory_work,composer,0.172,False,model,0.31,False,model,0.44,False,creative_or_artistic_work -> live_music_or_recording -> visual_art_practice -> literary_writing -> design_work -> film_or_video_production -> health_or_wellness_work -> legal_or_regulatory_work -> technical_or_engineering_work -> clinical_care,filmmaker,0.168,False,model,0.141,False,rapper,0.168,False
100,100,model,"She was born in Los Angeles on March 20, 1955. She is listed on FreeOnes since 2011 and is currently ranked 10213th place. She currently has 4 gallery links in her own FreeOnes section.",health_or_wellness_work -> creative_or_artistic_work -> female_pronouns -> legal_or_regulatory_work -> design_work -> clinical_care -> visual_art_practice -> literary_writing -> film_or_video_production -> live_music_or_recording,model,0.165,True,model,0.187,True,model,0.218,True,creative_or_artistic_work -> health_or_wellness_work -> legal_or_regulatory_work -> technical_or_engineering_work -> design_work -> clinical_care -> visual_art_practice -> live_music_or_recording -> mind_body_practice -> film_or_video_production,pastor,0.11,False,accountant,0.164,False,accountant,0.221,False
104,104,journalist,"She is a rising junior at Sprayberry High School. Ever since elementary school she has had a very avid interest in writing and news broadcasting. Other than being interested in writing and journalism, Joni also enjoys singing and has played saxophone for six years.",health_or_wellness_work -> creative_or_artistic_work -> visual_art_practice -> literary_writing -> design_work -> film_or_video_production -> live_music_or_recording -> female_pronouns -> camera_or_photography_work -> legal_or_regulatory_work,composer,0.172,False,dj,0.454,False,model,0.229,False,creative_or_artistic_work -> live_music_or_recording -> visual_art_practice -> literary_writing -> film_or_video_production -> design_work -> health_or_wellness_work -> legal_or_regulatory_work -> technical_or_engineering_work -> clinical_care,dj,0.44,False,dj,0.441,False,dj,0.314,False
125,125,yoga_teacher,"He is an expert of Hatha yoga and yoga philosophy. He has done many lectures and workshop on yoga in the national and international arena. He is also a master trainer of 200-hour and 300-hour yoga teacher training programs and a gold medalist in yoga championship, and he also completed undergraduate, postgraduate, Ph.D. in yogic science, and CS from one of the renowned university, Dev Sanskriti Vishwavidalaya in Haridwar. As a yoga teacher and therapist, Naveen focuses on the yogic way of living",health_or_wellness_work -> nursing_care -> female_pronouns -> clinical_care -> creative_or_artistic_work -> dental_or_oral_health -> legal_or_regulatory_work -> male_pronouns -> visual_art_practice -> live_music_or_recording,personal_trainer,0.386,False,personal_trainer,0.457,False,personal_trainer,0.409,False,creative_or_artistic_work -> health_or_wellness_work -> mind_body_practice -> clinical_care -> nutrition_or_diet_guidance -> legal_or_regulatory_work -> dental_or_oral_health -> nursing_care -> technical_or_engineering_work -> design_work,yoga_teacher,0.903,True,yoga_teacher,0.864,True,yoga_teacher,0.411,True
161,161,rapper,Add him at - https://www.facebook.com/marsmeese | Listen to music @ https://soundcloud.com/marsmeesemartian | Subscribe to Youtube Channel @ Nu Regime Productionz,health_or_wellness_work -> creative_or_artistic_work -> female_pronouns -> legal_or_regulatory_work -> clinical_care -> design_work -> visual_art_practice -> literary_writing -> film_or_video_production -> live_music_or_recording,accountant,0.153,False,accountant,0.224,False,pastor,0.317,False,creative_or_artistic_work -> health_or_wellness_work -> legal_or_regulatory_work -> technical_or_engineering_work -> design_work -> clinical_care -> visual_art_practice -> live_music_or_recording -> mind_body_practice -> film_or_video_production,pastor,0.11,False,accountant,0.164,False,accountant,0.221,False
178,178,architect,"As a Fulbright Scholar, she obtained a MSc in Architecture and Urban Design at Columbia University, NY. Irene is currently completeing an EPSRC — Engineering and Physical Sciences Research Council — funded PhD at the Bartlett School of Architecture, London.",health_or_wellness_work -> creative_or_artistic_work -> female_pronouns -> legal_or_regulatory_work -> design_work -> clinical_care -> visual_art_practice -> literary_writing -> film_or_video_production -> live_music_or_recording,interior_designer,0.67,False,interior_designer,0.721,False,interior_designer,0.835,False,creative_or_artistic_work -> health_or_wellness_work -> legal_or_regulatory_work -> technical_or_engineering_work -> design_work -> clinical_care -> visual_art_practice -> live_music_or_recording -> mind_body_practice -> film_or_video_production,architect,0.591,True,architect,0.542,True,architect,0.581,True
184,184,dj,"He moved to Anduruna for a fresh start but found himself stunned by the city's harsh laws. He spoke out against them, catching the attention of Troika -- A secretive military organization that deals in protecting the people of Anduruna against the Nightmare despite current political issues with the government.",health_or_wellness_work -> creative_or_artistic_work -> female_pronouns -> legal_or_regulatory_work -> clinical_care -> design_work -> visual_art_practice -> literary_writing -> film_or_video_production -> live_music_or_recording,accountant,0.153,False,accountant,0.224,False,pastor,0.317,False,creative_or_artistic_work -> health_or_wellness_work -> legal_or_regulatory_work -> technical_or_engineering_work -> design_work -> clinical_care -> visual_art_practice -> live_music_or_recording -> mind_body_practice -> film_or_video_production,pastor,0.11,False,accountant,0.164,False,accountant,0.221,False
190,190,filmmaker,"Her last film Dushomoy (1999) recounted the tragedy of Shima Choudhury, a young garment factory worker picked up by the police while traveling with her boyfriend and allegedly gang raped while in ""safe custody."" Dushomoy (""A Mother's Lament "") last screened at Ekta's Traveling Film South Asia in January 2001.",health_or_wellness_work -> creative_or_artistic_work -> female_pronouns -> legal_or_regulatory_work -> design_work -> clinical_care -> visual_art_practice -> literary_writing -> film_or_video_production -> live_music_or_recording,model,0.165,False,filmmaker,0.223,True,model,0.324,False,creative_or_artistic_work -> health_or_wellness_work -> legal_or_regulatory_work -> technical_or_engineering_work -> design_work -> clinical_care -> visual_art_practice -> live_music_or_recording -> mind_body_practice -> film_or_video_production,pastor,0.11,False,filmmaker,0.38,True,filmmaker,0.209,True
209,209,comedian,"She was born in the year 1957 on July 23. She is from Hastings, East Sussex, England, UK. She is 5′ 4″ (1.63 m) tall heighted. Her loved ones call her Josephine Grace Brand. She married to Bernie Bourke in the year 1997 on December 19 and together, they have two children.",health_or_wellness_work -> creative_or_artistic_work -> female_pronouns -> legal_or_regulatory_work -> design_work -> clinical_care -> visual_art_practice -> literary_writing -> film_or_video_production -> live_music_or_recording,model,0.165,False,model,0.187,False,model,0.218,False,creative_or_artistic_work -> health_or_wellness_work -> legal_or_regulatory_work -> technical_or_engineering_work -> design_work -> clinical_care -> visual_art_practice -> live_music_or_recording -> mind_body_practice -> film_or_video_production,pastor,0.11,False,accountant,0.164,False,accountant,0.221,False
211,211,composer,"In addition to working in numerous bands including The Tigers and smRts, Cobilis has contributed original music to film, dance and theatre. As an improviser he has performed internationally, including tours of Taiwan in 2009 and 2010. His return to Taiwan will see a pairing with hosts MOVE Theatre Company as they develop new work in 2012. Cobilis will introduce sound recording and improvisation to MOVE's production process via workshops, field missions and writing sessions. The resulting collabo",health_or_wellness_work -> creative_or_artistic_work -> visual_art_practice -> literary_writing -> design_work -> film_or_video_production -> female_pronouns -> live_music_or_recording -> camera_or_photography_work -> legal_or_regulatory_work,composer,0.172,True,composer,0.489,True,rapper,0.252,False,creative_or_artistic_work -> live_music_or_recording -> visual_art_practice -> literary_writing -> film_or_video_production -> design_work -> health_or_wellness_work -> legal_or_regulatory_work -> technical_or_engineering_work -> clinical_care,composer,0.543,True,composer,0.439,True,filmmaker,0.256,False
236,236,nurse,"Her experience includes managing the Implementation process for large, complex customers encompassing insured and self insured products. Her experience managing and partnering with large national accounts contributes to her ability to define and develop process efficiencies and proactively meet customer service delivery expectations.",health_or_wellness_work -> creative_or_artistic_work -> female_pronouns -> legal_or_regulatory_work -> design_work -> clinical_care -> visual_art_practice -> literary_writing -> film_or_video_production -> live_music_or_recording,model,0.165,False,model,0.187,False,model,0.218,False,creative_or_artistic_work -> health_or_wellness_work -> legal_or_regulatory_work -> technical_or_engineering_work -> design_work -> clinical_care -> visual_art_practice -> live_music_or_recording -> mind_body_practice -> film_or_video_production,pastor,0.11,False,accountant,0.164,False,accountant,0.221,False
335,335,software_engineer,"As an avid public speaker and one of Glamour Magazine's 35 Women Under 35 Who Are Changing the Tech Industry, Cassidy has worked with hackathons, meetups, conferences, and events around the country. She also likes karaoke and tacos.",health_or_wellness_work -> creative_or_artistic_work -> visual_art_practice -> literary_writing -> design_work -> film_or_video_production -> live_music_or_recording -> female_pronouns -> camera_or_photography_work -> legal_or_regulatory_work,composer,0.172,False,model,0.31,False,model,0.44,False,creative_or_artistic_work -> live_music_or_recording -> visual_art_practice -> literary_writing -> design_work -> film_or_video_production -> health_or_wellness_work -> legal_or_regulatory_work -> technical_or_engineering_work -> clinical_care,filmmaker,0.168,False,model,0.141,False,rapper,0.168,False
411,411,poet,"She was born in Tunis in 1953. Her father was Tunisian and her mother French. She grew up learning both Arabic and French. Later, having moved to Paris with her family at the age of sixteen, she read English at university. Of these three languages, French is her chosen tongue for poetry. Her first collection of poems appeared in 1980, followed by thirteen more along with two volumes of reinvented Tunisian folktales. She also translates the Filipino writer Francisco Sionil José from English into ",health_or_wellness_work -> creative_or_artistic_work -> female_pronouns -> legal_or_regulatory_work -> design_work -> clinical_care -> visual_art_practice -> literary_writing -> film_or_video_production -> live_music_or_recording,model,0.165,False,poet,0.196,True,teacher,0.17,False,creative_or_artistic_work -> health_or_wellness_work -> legal_or_regulatory_work -> technical_or_engineering_work -> design_work -> clinical_care -> visual_art_practice -> live_music_or_recording -> mind_body_practice -> film_or_video_production,pastor,0.11,False,accountant,0.164,False,pastor,0.209,False
440,440,surgeon,"He's a partner in a vet practice in Bray, Co Wicklow, Ireland, but spends 50% of his week on media work where ‘Pete the Vet’ has become his trademark name.",health_or_wellness_work -> creative_or_artistic_work -> female_pronouns -> legal_or_regulatory_work -> clinical_care -> design_work -> visual_art_practice -> literary_writing -> film_or_video_production -> live_music_or_recording,accountant,0.153,False,accountant,0.224,False,pastor,0.317,False,creative_or_artistic_work -> health_or_wellness_work -> legal_or_regulatory_work -> technical_or_engineering_work -> design_work -> clinical_care -> visual_art_practice -> live_music_or_recording -> mind_body_practice -> film_or_video_production,pastor,0.11,False,accountant,0.164,False,accountant,0.221,False
